machine_id,laundromat_id,laundromat_name,machine_type,machine_size,current_status,status_last_changed,notes
QUEENS_0723_W01,QUEENS_0723,Flushing Laundromat,Washer,XLarge,Available,2025-05-25 16:21:13,
QUEENS_0723_W02,QUEENS_0723,Flushing Laundromat,Washer,Large,In Use,2025-05-25 20:06:13,
QUEENS_0723_W03,QUEENS_0723,Flushing Laundromat,Washer,XLarge,Available,2025-05-25 19:36:14,
QUEENS_0723_W04,QUEENS_0723,Flushing Laundromat,Washer,Medium,Available,2025-05-25 17:51:13,
QUEENS_0723_W05,QUEENS_0723,Flushing Laundromat,Washer,Large,In Use,2025-05-25 19:36:14,
QUEENS_0723_W06,QUEENS_0723,Flushing Laundromat,Washer,Large,Available,2025-05-25 19:36:14,
QUEENS_0723_W07,QUEENS_0723,Flushing Laundromat,Washer,Medium,In Use,2025-05-25 19:51:13,
QUEENS_0723_W08,QUEENS_0723,Flushing Laundromat,Washer,Large,In Use,2025-05-25 19:51:13,
QUEENS_0723_W09,QUEENS_0723,Flushing Laundromat,Washer,Small,In Use,2025-05-25 19:51:13,
QUEENS_0723_W10,QUEENS_0723,Flushing Laundromat,Washer,Medium,Available,2025-05-25 14:51:13,
QUEENS_0723_D01,QUEENS_0723,Flushing Laundromat,Dryer,Large,Available,2025-05-25 19:06:13,
QUEENS_0723_D02,QUEENS_0723,Flushing Laundromat,Dryer,Small,Available,2025-05-25 20:06:13,
QUEENS_0723_D03,QUEENS_0723,Flushing Laundromat,Dryer,Small,In Use,2025-05-25 20:06:13,
QUEENS_0723_D04,QUEENS_0723,Flushing Laundromat,Dryer,XLarge,Available,2025-05-25 18:06:12,
QUEENS_0723_D05,QUEENS_0723,Flushing Laundromat,Dryer,Large,Out of Order,2025-05-25 16:51:14,
QUEENS_0723_D06,QUEENS_0723,Flushing Laundromat,Dryer,XLarge,Available,2025-05-25 19:06:13,
QUEENS_0723_D07,QUEENS_0723,Flushing Laundromat,Dryer,XLarge,Available,2025-05-25 11:06:14,
QUEENS_0723_D08,QUEENS_0723,Flushing Laundromat,Dryer,XLarge,Available,2025-05-25 20:06:13,
QUEENS_0723_D09,QUEENS_0723,Flushing Laundromat,Dryer,Small,Out of Order,2025-05-25 17:36:13,
QUEENS_0723_D10,QUEENS_0723,Flushing Laundromat,Dryer,Medium,Available,2025-05-25 19:36:14,
MANH_0713_W01,MANH_0713,Golden French Cleaners,Washer,Large,Available,2025-05-25 19:21:13,
MANH_0713_W02,MANH_0713,Golden French Cleaners,Washer,Small,In Use,2025-05-25 19:36:14,
